Temp,한국어,영어,영어 검수
23759,몸매관리를 하는 젊은 여성들에게는 식사 대용 음료입니다.,It's meal substitution drink for young women who are on diet.,It's a meal substitution drink for young women who are on a diet.
23763,저는 대학교를 졸업하고 나서 20년 동안 일해 왔습니다.,I have been working for twenty years after graduating the university.,I have been working for twenty years after graduating the university.
23769,충동구매를 하지 않기 위해서 쇼핑목록을 적어가야겠어.,I will have to prepare shopping list to prevent impulse shopping.,I will have to write a shopping list to prevent impulse shopping.
23784,그런데 하루는 먹을 것도 없었고 돈도 다 떨어져 갔어요.,"Then, one day, he had nothing to eat and was almost broke.","Then, one day, he had nothing to eat and was almost broke."
23796,말하기 좋아하는 사람 들은 언제나 소문을 내지.,People who likes talking always makes rumor.,People who like talking always makes a rumor.
23802,그 기차는 하루에 2회 승객과 화물을 운송해요.,The train transports passengers and freight twice a day.,The train transports passengers and freight twice a day.
23806,그 기차는 하루에 두 번 승객과 화물을 운송합니다.,The train transports passengers and freight twice a day.,The train transports passengers and freight twice a day.
23810,말하기를 잘하기 위해서는 듣기를 잘해야 해요.,"To speak well, you should listen well too.","To speak well, you should listen well too."
23812,발차기를 잘하고 싶으면 날마다 발차는 연습해야 해.,"If you want to be good at kicking, you should practice how to kick everyday.","If you want to be good at kicking, you should practice how to kick every day."
23818,감정까지 상하게 하는 체벌의 필요성은 없는 것 같아.,Punishment which could hurt one's heart doesn't need.,We don't need a punishment that even could hurt one's heart.
23823,강남까지 지하철이랑 버스로 삼십 분 정도 걸릴 겁니다.,It takes approximately 30 minutes to get to gangnam by buses and subways.,It takes approximately 30 minutes to get to Gangnam by buses and subways.
23826,아직도 하늘에 지내는 제사가 이어져 오고 있나요?,Is the religious service to the sky being continued even until now?,Is the religious service to the sky being continued even until now?
23830,당신께서 원하신다면 두 가지 종류의 필터를 제공하겠습니다.,We will offer two kinds of filter if you want.,We will offer two kinds of filters if you want.
23848,누구나 좋아하고 인기 있는 게임을 만들어 보고 싶어.,I want to make a famous game that everyone likes.,I want to make a famous game that everyone likes.
23849,언제나 건강하길 바라. 그리고 너의 사진도 종종 보여줘.,"I wish you to be healthy all the time, and I want to see your picture.","I wish you to be healthy always, and let me see your pictures often."
23860,그러나 정확하게 하기 위하여 작은 스와치를 줄 수 있니?,"But to be clear, can you give me the small swatch?","But to be clear, can you give me a small swatch?"
23864,그러나 가능하지 않다면 사용하면 안 될 것 같아.,"But if not possible, it's better not to use it.","But if not possible, it's better not to use it."
23865,그러나 구입하신 제품은 삼성 정품으로 정상적으로 작동됩니다.,But the product you bought is authentic Samsung product and therefore it works well.,But the product you bought is an authentic Samsung product and therefore it works well.
23866,그러나 사랑하는 남편이 있는데 그런 건 문제가 되지 않는다.,"But I have a loving husband, that isn't a problem.","But I have a loving husband, that isn't a problem."
23870,언제나 건강하시고 당신의 아내에게도 안부 전해 주세요.,Take care and say hi to your wife too.,Take care and say hi to your wife too.
23875,언제나 건강하고 웃음이 넘치는 가정이 되길 기원합니다.,I hope your family is always healthy and is filled with laughter.,I hope your family is always healthy and is filled with laughter.
23879,공부나 좋아하는 일을 할 때는 그 일에 열중합니다.,"When studying or things they want, they concentrate on that.","When studying or things they want, they concentrate on that."
23881,숙제나 전달하실 내용이 있으시면 연락 좀 주세요.,Please contact me if you have assignments or any announcement.,Please contact me if you have any assignments or any announcement.
23884,그러나 선택하는 시간이 오래 걸리는 것이 제 단점입니다.,One of my weakness is that it takes long time to make decisions.,"However, one of my weaknesses is that it takes a long time to make decisions."
23886,아기가 건강하게 잘 자란 것 축하드려요.,I congratulate that the baby has grown up healthy.,I congratulate that the baby has grown up healthy.
23892,언제나 친절하게 시민들을 대해야 하는 것은 아니야.,It's not that you have to treat citizens nicely all the time.,It's not that you have to treat citizens nicely all the time.
23899,오늘날 발생하는 대부분의 범죄는 도덕성의 결핍에서 비롯됩니다.,Most of crimes stem from a lack of morality today,Most of crimes stem from a lack of morality today.
23928,나는 너를 사랑하고 너는 나를 사랑하는데 딴사람이나를사랑해요.,"I love you, you love me, though someone else also loves me.","I love you, you love me, but someone else also loves me."
23951,인터넷 신청하면 며칠 내로 설치 가능한지 지금 알아봐 줄래요?,Could you now check and see how long it will take to install the Internet service upon request?,Could you now check and see how long it will take to install the Internet service upon request?
23956,인터넷을 통하여 다양한 종류의 지식을 경험 할 수 있습니다.,We can experience various types of knowledge through internet.,We can experience various types of knowledge through the internet.
23967,그곳은 결혼하기 위해 돈이 얼마나 필요하니?,How much money do you need to get married over there?,How much money do you need to get married over there?
23971,저는 이상하게도 매주 화요일마다 몸이 안 좋아서 병원을 갔습니다.,I went to hospital every Tuesday strangely because I was not feeling well.,I had to go see a doctor every Tuesday because strangely I wasn't feeling good.
23975,기도는 진실하게 해야 하며 꾸준히 해야 한다는 것입니다.,You need to pray with sincerity and consistency.,You need to pray with sincerity and consistency.
23979,기타는 연주하는 방법에 따라 분위기가 달라지는 것 같습니다.,I think the ambience changes according to how you play the guitar.,I think the ambiance changes according to how you play the guitar.
23982,정의는 성공하고 이 영화는 해피 엔딩으로 끝나게 돼.,Justice prevails and this movie ends with a happy ending.,Justice prevails and this movie ends with a happy ending.
23986,그녀는 성실하기 때문에 이 가게에 고용하기 적합해요.,Her diligence qualifies her as an employee of this store.,Her diligence qualifies her as an employee of this store.
23987,그녀는 결혼하고 아기 들 집에 두고 외출한 거 처음이야.,It is her first time going out by leaving her children at home after the marriage.It is her first time going out by leaving her children at home after the marriage.,It is her first time going out by leaving her children at home after the marriage.It is her first time going out by leaving her children at home after the marriage.
23997,남자는 사랑하는 여자가 미소짓는걸 보기 위해 살아야 해.,Man should live to see the smile of a girl who he loves.,Man should live to see the smile of a girl who he loves.
24001,영어는 잘못하지만 번역기를 써서 틈틈이 공부하고 있습니다.,I'm not good at English but I'm studying in spare moments by using translator.,I'm not good at English but I'm studying in spare moments by using translator.
24007,영화는 섬세하고 다양한 표현 들을 보여 주지 못합니다.,Film cannot show the sophisticated and various expression.,Film cannot show the sophisticated and various expression.
24009,티비는 좋아하는 프로그램을 볼 수 있게 해줍니다.,Television allows us to watch our own favorite TV show.,Television allows us to watch our own favorite TV show.
24019,우리는 애석하게도 메뉴얼 컨트롤을 사용 할 줄 모릅니다.,"Unfortunately, we don't know how to use the manual control.","Unfortunately, we don't know how to use the manual control."
24036,"아내는 절망하며 ""왜 사회는 그에게 술을 권하는거야?"" 라고 혼잣말을 했어.","The wife feels despair and talks to herself, ""Why does the society make him drink?""","The wife feels despair and talks to herself, ""Why does the society make him drink?"""
24037,억울하게 살인 누명을 쓴 사람을 영화 주인공으로 만들었어.,The main character of the movie is someone who was falsely accused of a murderer.,The main character of the movie is someone who was falsely accused of a murderer.
24044,그녀는 사람들을 가나다 순으로 좋아했어요.,She liked people as an alphabetical order.,She liked people as an alphabetical order.
24054,우주는 깨끗하고 하염없이 넓은 공간으로만 보여.,"The space only seems like a vast, clean space.","The space only seems like a vast, clean space."
24068,그녀는 공부하기 싫어 하는 남학생을 가르쳐야 해요.,She should teach the boy who doesn't want to study.,She should teach the boy who doesn't want to study.
24083,평화를 지키기 위해서는 많은 노력히 필요해요,There needs to be lots of efforts to keep the peace.,There needs to be lots of efforts to keep the peace.
24084,그녀는 발표하는 것을 약간 자신 없어 하고 부끄러워 합니다.,She is not sure about her presentation and feels shy.,She is not sure about her presentation and feels shy.
4471,노인의 여가활동 유형이 삶의 질에 미치는 영향에 관한 연구를 하고 있어요.,Could you reply if there is any problem after checking the sheet?,Can I publish the document after when I exchange it in Korea and revising it?
4477,연예인 사생활 공개로 이들의 주변 사람들까지 피해를 봅니다.,By exposing celebrity's privacy people around them also get hurt.,By exposing celebrity's privacy people around them also get hurt.
4482,능동적인 생활 태도로 효율성 있는 서비스를 제공합니다.,"With positive behavior, we provide an efficient service and","With positive behavior, we provide an efficient service."
4488,긍정적이고 활발하며 맡은 임무에 충실한 성격입니다.,"I am the person who is really active, positive and responsible for my work","I am positive, active and responsible for my work."
4490,그 지식을 활용할 줄 알아야 진정한 마음의 양식을 얻게 될 거야.,You will get the true food of the mind when you know how to use the knowldge,You will get the true food of the mind when you know how to use that knowledge.
4501,내 학교생활의 시작은 아침에 일찍 일어나는 것부터 시작돼.,The beginning of my school life starts from waking up early in the morning.,The beginning of my school life starts from waking up early in the morning.
4502,교환학생 생활 중 가장 중요한 것은 성실성이라고 생각합니다.,I believe that the most important thing in exchange student period is sincerity.,I believe that the most important thing in exchange student period is sincerity.
4503,고등학교 생활을 마무리하는 차원에서 떠나는 여행이었어.,"To get my high-school life done, I hit the road with them.",It was a travel to get my high-school life done.
4504,이러한 가상활동은 사회에 어떤 영향을 미칠까요?,How do these virtual activities affect the society?,What effects will these virtual activities have to the society?
4518,나와 같은 환경에서 자란 사람들과 말하고 싶었어요.,I want to talk to peole who grew up around environment that I lived,I wanted to talk to people who grew up in the same environment as me.
4519,내가 언제 환불 받을 수 있는지 당신은 얘기해주세요.,You need to tell me when I can get a refund,Please tell me when can I get a refund.
4521,치료 후에 환자 들은 식욕 부진을 호소할 수 있다.,"After treatment, patient could appeal lack of appetite","After the treatment, the patient could appeal to a lack of appetite."
4522,남은 것을 환불하고 다른 사람이 재구매를 해야 합니다.,Return the rest and someone else should buy it/them again.,We should return the rest and someone else should buy them again.
4523,나는 좋은 환경이란 아이들을 사랑해 주는 선생님이 있는지에 따라 결정된다고 생각해.,I think that good environment is whether there is a teacher who loves children or not.,I think that a good environment is decided whether there is a teacher who loves children.
4524,복합 골절 환자는 잘못 다루면 더욱 위험합니다.,Patient with a compound fracture will in more danger when mishandled.,A patient with a compound fracture is riskier when mishandled.
4529,반품 및 교환은 상품이 사용하지 않은 것만 가능합니다.,- Purchased items must be unused to be refunded and exchanged.,Only unused items can be refunded or exchanged.
4546,이를 통해 환자들이 약을 정량 복용 하는 것을 기대할 수 있어요.,This may expect patient to have their medicines regularly.,"By this, we can expect patients to take a regular dose of medicine."
4554,죽어 가는 환자들이 경험하는 다섯 가지 단계가 있다고 해요.,There are five stages which dying patients experience.,There are five stages which dying patients experience.
4555,이것 들은 환경 오염을 막는 데에 그다지 효과적이지 않습니다.,These are not very effective on stopping environmental pollution,These are not that effective in stopping environmental pollution.
4556,결국 그는 환희의 송가 같은 아름다운 곡들을 작곡했어요.,"Eventually he composed beautiful songs like ""Ode to Joy"".","Eventually, he composed beautiful songs like ""Ode to Joy""."
4561,내가 나의 환자에게 설명을 충분히 잘했을 때?,When I explain to my patients well?,When I explain to my patients well enough?
4562,오늘 많은 환자들이 내 외래로 진료를 받으러 왔습니다.,"Today, many patients came to be examined in the outpatient clinic.","Today, many patients came to be examined at the outpatient clinic."
4566,해양 기상 환경 표본을 추출하는 방법에 대해 연구를 했어요.,I conducted a study on how to extract the marine weather environment.,I conducted a study on how to extract the samples of marine weather environment.
4572,제가 카드 환불 대신에 포인트로 요구하면 며칠 걸리나요?,"If I ask for points instead of refund by card, how many days will it take?","If I ask for points instead of refund by card, how many days will it take?"
4573,나의 꿈은 환자를 잘 치료해 주는 물리 치료사가 되는 것입니다.,My dream is to be a physical therapist who treats patients well.,My dream is to be a physical therapist who treats patients very well.
4575,아이들은 환경 변화에 아주 빠르게 적응하기 때문에 그래요.,It is because children adopt the change of circumstances fast.,It is because children adapt to the changing circumstances fast.
4578,혈액학에서는 환자와 의사 사이의 대화가 필요해요.,"In hematology, conversation is needed between a patient and a doctor.","In hematology, conversation is needed between a patient and a doctor."
4584,"배송, 반품, 환불 등 관련 문의는 아마존에 해야 합니다.","You need to inquire at Amazon regarding shipment, return and refund.","You need to inquire at Amazon regarding the shipment, return and refund."
4588,그리고 친환경제품을 만들기 위해 재활용 제품을 활용합니다.,"And, they use recycled products to make eco-friendly products.",And they use recycled products to make eco-friendly products.
4589,광장공포증 환자의 약 2/3가 공황장애를 가지고 있다고 합니다.,It has been reported about two thirds of people with agoraphoboa are  suffering from panic disorder.,It has been reported about two-thirds of people with agoraphobia are suffering from panic disorder.
4592,대출금의 상환율은 무려 98.72%에 달합니다.,The repayment rate of the loan reaches as much as 98.72%.,The repayment rate of the loan reaches as much as 98.72%.
4595,우리나라는 환절기로 하루가 다르게 추워지고 있습니다.,Our country is getting cold day by day because of a change of season,My country is getting cold day by day because of the in-between seasons.
4598,오늘날에는 환경 오염으로 인해 많은 문제들이 생기고 있습니다.,Many problems occour due to enviromental pollution today.,Many problems are occurring due to the environmental pollution these days.
4601,우리는 악순환을 끊고 선순환을 만들어 내야 합니다.,We have to cut the vicious circle and then make the virtuous circle.,We have to cut the vicious circle and make a virtuous circle.
4607,이 때문에 환자들은 창자 샛길 착용 여부에 따라 벨리보드를 사용합니다.,"For such reason depending whether the patient is wearing an ostomy bag or not, belly board is used.","For such reason depending on whether the patient is wearing an ostomy bag, belly board is used."
4611,하지만 그 환자는 수술한 지 3개월밖에 안되었어요.,But that patient has only been three month after surgery.,But that patient has only been three months since the surgery.
4612,하지만 자연환경이 예뻐 유네스코에서 자연유산으로 지정되었습니다.,But it was nominated as the world natural heritage UNESCO. I found this place after watching a skydiving program in a TV.,But it was nominated as the world natural heritage UNESCO because the natural environment is beautiful.
4615,폭스바겐은 환경을 무시하고 오로지 경제적 이익만 추구했습니다.,"Volkswagen only pursued its economical interests, ignoring the environment.","Volkswagen only pursued its economic interests, ignoring the environment."
4628,한국에서 교환한 후 내가 정정하여 서류를 발행해도 되겠습니까?,Will I publish the document after I revise it when I exchange in Korea?,Can I publish the document after when I exchange it in Korea and revising it?
4635,인천에서는 환경을 위해 추진하고 있는 정책이 있나요?,Is there a policy pushed forward for the environment in Incheon?,Is there a policy pushing forward for the environment in Incheon?
4639,또 원하면 환불해 준다는 게 같은 무책임한 말을 할 것인가요?,Will you say again that you will refund if I want?,Are you going to say that kind of irresponsible word again that you will refund it if I want?
4644,수선이나 교환하러 오신 거면 1시간은 무료예요.,You get 1 hour free parking if you are here for repair or exchange.,You get 1-hour free parking if you are here for a repair or exchange.
4645,상하이에서 환승해 가니깐 비행기 표가 훨씬 싸네요.,The airfare is much cheaper because I transferred in  Shanghai.,The plane ticket is much cheaper when I transfer in Shanghai.
4648,관심 있는 소환자를 즐겨찾기 하여 편리하게 정보를 받아보세요.,Add your favourite summoner for easy updates on the latest news.,Add your favorite summoner for receiving the latest news easily.
4656,이전처럼 교환이 필요한 경우인지 답변을 요구하고 있습니다.,"As before, if necessary, whether the exchange is demanding answers.","As before, we are asking for an answer, whether the exchange is necessary."
4658,주문 취소와 환불을 원한다고 해도 저희는 당신을 이해합니다.,We understand you even if you cancel your order and refund.,We understand you even if you want to cancel your order and refund.
4660,마이크는 전환 교육 전문가로서 한국에서도 유명해요.,Mike's expertise is in transition education and he's famous in Korea too.,Mike's famous in Korea too as an expert in transition education.
4661,싱가포르는 환경이 깨끗하고 치안이 좋은 나라예요.,Singapore is a country that is called the environment is clean and jaldoe the police.,Singapore is a country with a clean environment and safe security.
4663,필리핀의 외환 관리법에 대한 자문이 필요해요.,I want advice about Philippines' foreign exchange control law,I need advice about the Philippines' foreign exchange control law.
4665,요청하는 교환 일정은 언제 인지 확인 부탁드립니다,Verify that the exchange request and ask for a certain time.,Please confirm when is the requested exchange date.
4673,주문 번호 확인 후 교환 또는 환불 처리하겠습니다.,I will deal with it as a refund or an exchange after checking an order number.,I will deal with it as a refund or an exchange after checking the order number.
4684,추가 일정 확인되는 대로 알려주시면 감사하겠습니다.,I will appreciate if you inform me the additional schedule once confirmed,I will appreciate if you inform me the additional schedule once confirmed.
4689,방문 전에 확인하고 방문을 하는 게 좋습니다.,You would better check before visiting,It's better to check before visiting.
4699,첨부 파일 확인 후 상호 변경 진행 부탁드립니다.,"After checking the attached file, change the store name, please.",Please check the attached file and change the store name.
4701,은행 송금 확인 후 제품을 빨리 발송해 주세요.,"After Bank transfer confirmation, please shipping goods quickly.","After Bank transfer confirmation, please ship the goods quickly."
4704,일단 메일 확인을 늦게 한 것에 대해 상당히 미안합니다.,"Most of all, i'm so sorry that i checked a mail late.","Most of all, I'm so sorry that I checked a mail late."
4705,또한 제품 확인을 위해 소량의 제품을 세관에서 개봉하였습니다.,"Also, the customs officials opened some of products to check it out.","Also, the customs officials opened a few products to check it out."
4707,"제가 다시 확인하였고, 서명된 문서를 메일에 첨부했습니다.",I rechecked and attached the signed document.,I rechecked and attached the signed document.
4718,그때쯤 정확하게 다시 한번 연락하실 건가요?,Will you contact me again in that time?,Will you contact me again at that time?
4726,너와 나의 확실한 신뢰로 나를 배신 안 했으면 해.,I hope you don't betray me with strong trust between us.,I hope you won't betray me with strong trust between us.
4727,그에 앞서 확인을 부탁드릴 사항이 하나 있습니다.,"Before all, We want you to confirm something.","Before all, we want you to confirm something."
4728,유니드에 확인해 보니 미국 쪽 중개 은행에 문제가 있었답니다.,I found that there was a problem in the United States bank while checking on the Unid.,We checked on Unid and there was a problem at the United States intermediary bank.
4731,그 쪽에서 본인 신분 확인 후 재발권을 해 드릴 수도 있습니다.,They can probably remake the ticket on checking you ID.,They can probably remake the ticket after checking your ID.
4737,발주서를 확인 후에 서명해서 우리에게 보내 주세요.,Please send us the signed purchase order after checking it.,Please check the purchase order and send it to us after signing it.
4758,첨부 파일 확인해 주시고 비용 정보 요청합니다.,Please check the attached file and ask for information of the cost.,Please check the attached file and we ask for information about the cost.
4759,아래 내용 확인하여 보시고 틀린 내용 있으면 수정 부탁합니다.,Please check the content below and let me know if there is any error.,Please check the content below and revise it if there is an error.
4760,이전 메일 확인 부탁드리며 문제가 있으면 언제든지 알려주세요.,"Please check your old email and if there is any problem, please let me know anytime.","Please check the last email and if there is any problem, please let me know anytime."
4761,첨부 파일 확인하시고 진행 가능한 것들은 단가 적어서 답장 해주세요.,Please check the attached file and reply me back with available lists with unit prices.,Please check the attached file and reply back with available lists with unit prices.
4772,여권 국적 확인 과정에서 오류가 발생하였고 현재 해결되었습니다.,There was an error when verifying nationality on passport,There was an error verifying nationality on the passport and now the problem is solved.
4786,너의 차를 확인해 봤는데 자동차 등록증이 없는 걸 발견했어.,"I checked your car, and I found out that there is no automobile certificate of inscription.","I checked your car, and I found out that there is no automobile certificate of inscription."
4798,티켓 예매 확인서와 신분증이 있으면 현장 수령이 가능합니다.,"If you have the certificate of ticket reservation and your identification card, receipt at the site is also available.","If you have the certificate of ticket reservation and your identification card, will-call is also available."
4815,쉰 개 점 확대 시 위와 동일한 조건으로 공급합니다.,We will supply under the same above condition when we reach 50 stores.,We will supply under the same above condition when it reaches 50 stores.
4820,바쁘겠지만 확인 후 스캔하여 메일로 보내 주시기 바랍니다.,"I know you are busy, but please check it and email me the scanned file.","I know you are busy, but please check it and email me the scanned file."
4830,내 기억을 확실하게 하기 위해 계약서를 요청합니다.,In order to ensure my memory I request a contract document.,"In order to ensure my memory, I request a contract document."
4831,유통기한을 확인했을 때 지났으면 교환과 환불이 쉬워지지.,It is easy to exchange or refund when it is passed expiration date.,It is easy to exchange or refund when it is past the expiration date.
4837,위 내용이 확인되면 70패키지를 초도주문하겠습니다.,"Once our inquires above is clarified, we will make 70 packages as our first order.","Once our inquires above is clarified, we will make 70 packages as our first order."
4840,내 눈으로 확인한 바론 묶음이 아닌 낱개로 되어있었습니다,"As far as I checked by myself, they are packed one by one not bundle.","As far as I checked by myself, they are packed one by one not as a bundle."
4845,왜 당신은 나에게 확실하게 말을 하지 않아요?,Why you doesn't tell me surely?,Why don't you tell me surely?
4855,전체를 다 확인하기에는 시간이 조금 필요하다고 합니다.,It is said that it takes some time to check everything.,It is said that it takes some time to check everything.
4857,정확한 발음을 익히기 위해서 많이 듣는 것도 중요해요.,It's also important to listen a lot to have correct pronunciations,It's also important to listen a lot to have correct pronunciations.
4860,내 메일을 확인하지 않기에 뭔가 오해가 있나 했어.,I thought there was a misunderstanding because you didn't check my mail,I thought there was a misunderstanding because you didn't check my mail.
4878,가로 사이즈 확장기능이 있어 대용량 수납이 용이합니다.,It is easy to store bulk load with lateral expansion.,It is easy to store bulk load because it has lateral expansion.
4880,이 상황을 확인해 주고 바로 메일 부탁드립니다.,Please recognize the situation and email me back as soon as possible.,Please confirm the situation and email me back as soon as possible.
4887,이 시트를 확인하고 어떤 문제가 있다면 회신해 주세요.,Please look over this sheet and reply me if there is any problem,Please look over this sheet and reply to me if there is any problem.
4890,다이어리를 확인해 봤는데 아마도 그게 맞는 것 같아.,"I check the diary, and probably that's right","I check the diary, and probably that's right"
4896,고객에게 정확한 안내를 줄 뿐만 아니라 우리도 확인이 필요합니다.,"We also need to check it out, not only giving a accurate information to customers","Not only giving accurate information to the customers, but we also need to check."
4897,내 여권을 확인했는데 귀국 날짜만 표기되어 있네요.,I have checked my passport and it only states the returning date.,I have checked my passport and it only states the returning date.
4904,"제품은 주문 확정 후, 일주일 이내에 발송될 것입니다.",The products would be shipped within 7 days right after order confirmation.,The products would be shipped within 7 days right after order confirmation.
4909,구매 의사는 확실한데 이것저것 귀찮게 여쭤봐서 죄송합니다.,"I am sorry if i bothered you asking so many question, however, i am 100% sure buying this product.",I am 100% sure buying this product but I am sorry for bothering you by asking so many questions
4916,무엇인지 정확하게 알 수 없지만 대비가 있는 게 좋은 것 같아.,I'm not sure what it is but maybe I just like the comparison they make.,I'm not sure what it is but I prefer the comparison they make.
4923,출하 일정이 확정이 되면 다시 연락 드리겠습니다.,We'll get in contact with you once the shipment schedule is confirmed.,We'll get in contact with you once the shipment schedule is confirmed.
4931,추가로 확인되는 사항에 대해 공유해 주세요.,Please share some suggestions for further confirmation.,Please share further confirmed items.
4938,사는 집을 정확히 알려주면 버스 노선을 찾아줄 수가 있어요.,"If you can tell me your address, I search for bus routes you can take.","If you tell me your exact address, I can search for the bus routes."
4942,호텔 측에서 확인하고 내가 아고다에서 날짜 변경 가능한가요?,May I change the dates in Agoda after the confirmation from the hotel?,May I change the dates in Agoda after the confirmation from the hotel?
4944,엑스트라넷 확인해 보니 A1516으로 확인됩니다.,I checked the extra net and it's A1516.,I checked the extranet and it's A1516.
4946,"첨부파일을 확인하여 주시고, 반영 부탁드립니다.",Please check the attachment and reflect.,Please check the attachment and reflect it.
4947,첨부파일을 확인하여 레벨테스트 결과를 알려주시기 바랍니다.,Please check the attachment and let me know the result of level test.,Please check the attachment and let me know the result of the level test.
4957,확실한 도움이 되지 못해서 미안합니다.,Sorry for not being helpful.,Sorry for not being a solid help.
4971,이 영화의 두 주인공 필립과 드리스를 모셔보았습니다.,Now here we invited the actual figures of Philippe and Driss of the movie.,"Now here we invited two main actors of the movie, Philippe and Driss."
4980,나는 그 영화를 친구들이랑 같이 봤어.,I watched the movie with my friends.,I watched that movie with my friends.
4981,나는 이 영화를 약 한 달 전 아내와 함께 집에서 봤습니다.,I watched a film at home with my wife a month ago.,I watched this film at home with my wife about a month ago.
4994,나는 남해 화학이라는 회사에서 일하고 있습니다.,I work for a chemical company named Namhae Chemical.,I work for a chemical company named Namhae Chemical.
5000,저는 조직문화 및 인사 업무를 기획팀에서 수행하였습니다.,I work out organizational culture and personnel business in planning department.,I worked in organizational culture and personnel business in the planning department.
5011,그냥 너는 화를 내고 짜증 낼 사람이 필요해.,You just want somebody you can complain and angry at.,You just need somebody you can complain and be angry at.
5012,가끔 나를 화나게 하지만 행복하게 만들어 줘서 고맙다.,"You make me mad sometime, but thanks to make me happy.","You make me mad sometimes, but thank you for making me happy."
5018,단계별로 화이트 와인 레드 와인을 맛볼 수 있어.,You can taste a white and red wine accordingly.,You can taste a white and red wine stage by stage.
5020,급할 때 전화할 수 있게 번호 알려줄 수 있나요?,Could you provide me your number to call in case of emergency?,Could you let me know your number to call in case of emergency?
5042,나는 이 영화의 구성이 매우 잘 짜여 있다고 생각해요.,I think this movie has a very good storyline.,I think this movie is very well organized.
5044,내가 너무 화가 나서 당신도 만나지 않을 거라 말했어요.,I said I didn't even want to see you because I was very upset.,I said I wouldn't see you because I was very angry.
5060,"네, 한국문화거리에 있는 4층 중앙에 있는 가게예요.","Yes, that shop is at the center of 4th floor in the Korean cultural street.","Yes, it's the shop at the center of the 4th floor in the Korean cultural street."
5064,나는 우선 화요일에 나이키 상품을 선적하도록 하겠습니다.,"First of all, I will ship the Nike products on Tuesday.","First of all, I will ship the Nike products on Tuesday."
5065,먼저 수원 화성의 주요 인물인 실학자 정약용을 소개합니다.,"First of all, I will introduce a Silhak scholar, Chung Yakyong who is an important person of Suwon Hwaseong","First of all, I will introduce a Silhak scholar, Yakyong Chung who is an important person of Suwon Hwaseong."
5071,일단 손님 화를 풀어 드리고 손님의 마음을 이해한다고 했습니다.,First I made the customer calm down and said I understood his mind.,First I made the customer calm down and said I understood his mind.
5073,"또한, 이 영화는 개인적으로 사회소수자에 대한 영화인 것 같아.","Furthermore, i think personally this movie is about the social minority.","Furthermore, I personally think this movie is about the social minority."
5086,현재 다문화 센터의 주 서비스 대상은 누구라고 생각하십니까?,Who do you think is the current subject of service in multicultural centers?,Who do you think is the current main subject of multicultural center services?
5087,사람들은 화장과 다이어트 피부 관리 등에 공을 들입니다.,"People spend their effort on make-up, diet, skin care and etc.","People spend their effort on make-up, diet, skincare and etc."
5088,운전 중 전화를 금지하는 것은 자동차 사고를 줄입니다.,Banning a phone call while driving decreases car accident.,Banning phone call while driving decreases car accident.
5092,혹시 매주 화요일 당신에게 수업을 받을 수 있을까요?,Can I take you class every Tuesday by any chance?,Can I take classes from you every Tuesday by any chance?
5094,나는 지난 화요일부터 커피를 마시지 않고 있어.,"Since last Tuesday, I did not drink coffee","Since last Tuesday, I'm not drinking coffee."
5097,댄서들은 화려한 의상을 입고 정열적으로 삼바를 춰요.,Dancers wear glittering outfits and dance samba enthusiastically,Dancers wear fancy outfits and dance samba enthusiastically.
5098,나는 오직 화요일과 목요일만 시간이 가능할 거 같아요.,I'm only available on Tuesday and Thursday.,I'm only going to be available on Tuesday and Thursday.
5101,나는 이 영화가 후속작이 나오기를 기대하고 있어.,I'm looking forward to seeing this sequel.,I'm looking forward to seeing this movie's sequel.
5103,조금 전 대화에서 귀 기울여 듣지 못해서 정말 죄송해요.,I'm really sorry that I didn't listen carefully to the talk just a moment ago.,I'm really sorry that I couldn't listen carefully to the conversation just a moment ago.
5105,저는 영어 회화 수업을 듣는 이병호라고 하는데요.,I'm Byeon Ho Lee taking your 'English Conversation' lecture.,I'm Byeon Ho Lee taking your 'English Conversation' lecture.
5112,제가 전화 통화를 할 정도로 영어를 잘하지는 못합니다.,I'm on my holiday from 22nd to 27th next week.,I'm not that good at English to make a phone call.
5116,나는 매주 화요일 학교에서 원어민 선생님에게 영어를 배우고 있어.,I learn english from a native teacher at school every Tuesdays,I'm learning English from a native speaking teacher at school every Tuesdays.
5123,나는 이 영화에서 자살을 살자로 바꾼 것이 마음에 든다.,I love how this movie turned the idea of suicide to emphasize the importance of living.,I love how this movie turned the idea of suicide to emphasize the importance of living.
5134,지금 이 대화가 JY의 영어 공부에 촉진제가 될 것입니다.,This conversation will motivate JY to study english.,This conversation right now will motivate JY's English studying.
5138,나는 이 영화가 처음 개봉되었을 때부터 즐겨보고 있습니다.,I have watched since it was released.,I have enjoyed watching since this movie was first released.
5149,나는 그 영화에 이병현이 출연한다고 들었어.,I heard that Lee Byun-hun is in the movie,I heard that Lee Byun-hun is going to be in that movie.
5150,다른 나라 화폐는 아마 인터넷 환전이 가능할 거예요.,Other country currency would be possible to exchange on the internet.,Other country currency would be possible to exchange on the internet.
5151,나는 그 영화를 보면서 아일랜드가 참 아름답다고 생각했어요.,I got to think that Ireland is so beautiful while watching the movie.,I got to think that Ireland is so beautiful while watching the movie.
5166,나는 이 영화의 마지막 장면이 가장 인상 깊었습니다.,The last scene of this movie was most impressive to me.,The last scene of this movie was most impressive to me.
